docno,text
937_chunk000,"By decision of 26 July 2019, the State Secretary for Justice and Security established a so-called decision and departure moratorium for asylum seekers from Libya (Government Gazette 26 July 2019, no. 40679). This ruling is about a decision to establish a decision moratorium for Libya."
937_chunk001,A decision moratorium means that the period within which asylum applications from Libyan foreign nationals must be processed by the state secretary is extended. This decision is important for all...
958_chunk000,"The appellants were Afghan nationals who arrived in Ireland in 2008. They lived in direct provision and had four children, three of whom were born in Ireland. The entire family applied for asylum in 2013. In December 2014, the Refugee Appeals Tribunal issued a decision declaring their youngest son to be a refugee and this was communicated to the family by letter dated 8 January 2015."
958_chunk001,"Upon receipt of this decision, the entire family applied for family..."
981_chunk000,The applicant is a Palestinian stateless from the Gaza strip and applied for international protection in Belgium. His application was rejected but he was granted subsidiary protection.
981_chunk001,"Upon appeal, the applicant argued that he is a Palestinian refugee, and that he is eligible of UNRWA protection despite not having been registered with and not having received material assistance from UNRWA or lived in its area of operation. The applicant claimed to fall within the personal scope of Article 1D..."
970_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by the MO MoI SR):
970_chunk001,"With respect to the plaintiff's objections, the Court of Cassation states that these are unjustified. It is clear from the defendant's administrative file that the plaintiff's legal representative was allowed to be present during the interview and she was given an opportunity to comment as stipulated in Art. 23 of the Directive 2013/32/EU..."
957_chunk000,An Albanian national was stalked by a co-worker who vandalised her husband's car and subsequently fired shots at her husband. The appellant subsequently moved to Tirana but her stalker found her and further intimidated her there.
957_chunk001,"The appellant claimed her stalker enjoyed political influence and/or protection in Albania so her complaints to the police were not effective, and therefore she fled Albania and claimed asylum in Ireland."
1000_chunk000,"The CNDA overturned the decision of the OFPRA who rejected the asylum request of three female applicants belonging to the Wolof ethnic group in Gambia, on the basis that the prevalence rate of FGM/C in this ethnic group is low (12.3%)."
1000_chunk001,"The CNDA noted that children and women who have not undergone FGM/C, constitute a social group in a population in which FGM/C is commonly practiced to the point of constituting a social norm. The court emphasized that the existence of a social group..."
936_chunk000,"This is linked to Joined Cases C‑582/17 and C‑583/17

By order for reference of 27 September 2017, the Division asked the Court of Justice to give a preliminary ruling on the question asked about the interpretation of the Dublin Regulation (OJ 2013, L180). The Division thereby suspended..."
955_chunk000,"The applicant was granted refugee status as a minor on 25 September 2014. In July 2018, when the applicant was aged 17, an application for family reunification in respect of her mother, father and sister was submitted by her social worker."
955_chunk001,In September 2018 the application was refused by the Minister for Justice on the basis that it had not been submitted within 12 months of the grant of refugee status as required by section 56(8) of the International Protection Act 2015. The applicant then...
913_chunk000,The case concerns the calculation of the maximum time that a person may spend in detention for the purpose of removal. In the present case the applicant had been in detention for more than twenty months.
913_chunk001,"The Swedish Migration Court of Appeal referred to Article 15 (5) and (6) of the Return Directive as well as to the relevant provisions of the Swedish law and it held that within the same enforcement of a removal decision, an applicant can be held in detention for a maximum of..."
974_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by the MO MoI SR):
974_chunk001,A situation when legal consequences of a contested decision of the regional court represented a threat of serious harm and the granting of suspensive effect is not contrary to public interest is a fundamental and unavoidable condition that has to be met in order for the Court of Cassation to grant suspensive effect of a...
976_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by the MO MoI of SR):
976_chunk001,The Court of Cassation due to the low-profile status of the plaintiff as one of the many construction workers involved in the construction of flood protection structures without a sufficient level of individualizing elements concerning the plaintiff and with respect to the story provided by him did not find the conclusion...
979_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:
979_chunk001,"The Council for Alien Law Litigation (CALL) has annulled several Immigration Office's “decisions” to extend the transfer time limit due to the fact the applicant had absconded. The CALL stated that Article 26 in conjunction with Article 29 (2) of the Dublin III Regulation, in view of Article 47 of the Charter of Fundamental Rights..."
997_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:
997_chunk001,"The Council of State, in its rejection of the applicant's appeal, opined that only the women who managed to effectively escape the trafficking ring could be considered as belonging to the social group of Nigerian women from the State of Edo who were victims of a human trafficking network for sexual exploitation. With this decision, the Council..."
951_chunk000,The case concerns the risk situation in case of return to the country of origin as well as fear of persecution by the Taliban forces.
951_chunk001,"The Regional Court had dismissed the administrative action for the following reasons:
- there are no individual circumstances which the applicant should reasonably assess a well founded fear of persecution. It has not been shown in the proceedings that the applicant had certain political views, nor has it been shown that the Taliban..."
996_chunk000,"According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:

For the Council of State, the civil registry records reconstituted by the French Office for the Protection of Refugees and Stateless Persons (OFPRA) have identical value to the official originals, which precludes consular authorities contesting the particulars contained therein, except in cases of fraud."
996_chunk001,...
972_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:
972_chunk001,"Inter alia, the applicant challenged the incorrect legal assessment of the genuineness of his conversion, while mainly reprehending the non-application of the ‘benefit of doubt' principle, insufficient verification of his faith resulting from the fact that only one interview was carried out, during which the defendant failed to focus to a sufficient..."
1091_chunk000,"The case concerns a Nigerian applicant who made unsuccessful applications for international protection in April 2015, January 2017 and May 2018, and decisions to return him were issued."
1091_chunk001,"The applicant was arrested on 6 June 2019 in execution of a detention order that had since been issued and, after being questioned, received a notification from the Federal Office for Foreign Affairs and Asylum (BFA) on the same day on detention pending deportation. During detention pending..."
1084_chunk000,"The case concerns the evidence (documents and declarations) necessary for a family reunification application.

By decision of 31 July 2017, the State Secretary rejected the applicants' request for a provisional residence permit. On 18 July 2018, the State Secretary declared the the applicants' objection as unfounded and on 1 March 2019, the court dismissed the appeal brought by the..."
961_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by MO MoI SR):
961_chunk001,"It is beyond doubt that if a person cannot exercise his/her rights in front of an administrative court in the language he/she understands, such exercise of the right would be ineffective and the basic objective of the right to a fair trial would not be fulfilled. The right to carry..."
938_chunk000,IThe foreign national has submitted a subsequent asylum application. The decision on that application was taken on behalf of the State Secretary by the employee of the Immigration and Naturalization Service (hereinafter: the IND) who heard the alien and also issued the intention.
938_chunk001,"The foreign national argues that the objectivity of decision-making is at stake and that the state secretary has acted in violation of the so-called four-eyes principle.

According to the..."
1012_chunk000,The applicant arrived as a transit passenger on 18 March 2019 by air from Moscow to the Czech Republic and applied for international protection at the Václav Havel Airport Prague. The applicant was refused entry into the territory as she was registered in the Schengen Information System (SIS) as an undesirable alien to whom refusal of entry into the Schengen area was to be made.
1012_chunk001,"It was considered that if admitted, the applicant could pose a..."
1564_chunk000,HA applied for asylum in May 2015 alleging that he is registered with UNRWA and that upon return to Gaza he is at risk of being killed or subjected to inhuman or degrading treatment.
1564_chunk001,"By decision of 28 February 2017, the Swedish Migration Agency rejected his application, considering that although HA may have received assistance from UNRWA, he did not prove the risk invoked upon return and he does not fulfil the requirements for international protection. However, he..."
928_chunk000,Returning Syrian asylum seekers who have withdrawn from compulsory military service in Syria by traveling abroad are currently not likely to face political persecution by the Syrian state because of an at least anti-regime attitude attributed to them.
928_chunk001,"Due to the deprivation of military service, they cannot be granted refugee status (this is a change in previous case law due to changed circumstances).

See also judgment about this case in the"
978_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by the MO MoI of SR):
978_chunk001,The Court of Cassation is of the opinion that in the plaintiff's case defining conceptual elements of a social group were not accomplished as stipulated in the provision of Art. 19a par. 4 (c) of the Act on Asylum. Performance of a work activity by a plaintiff or his education and qualifications do not...
1010_chunk000,"On 10 October 2018 the applicant was detained for illegal stay in the Czech Republic and placed in detention. Through EURODAC information, it was confirmed that the applicant had applied for international protection in Germany, Denmark and Switzerland. In addition, according to a communication from Germany, the complainant had at least six other identities."
1010_chunk001,"Under the Dublin III proceedings, the applicant was interviewed and stated that he had left Libya because of the war and..."
967_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by MO MoI SR):
967_chunk001,The Decision of the Court of Cassation on the granting of suspensive effect of the cassation appeal shall be seen as an extraordinary decision. The extraordinary nature of this procedural act of an administrative court resides in the fact that such action by the judiciary paralyses effects of the valid...
939_chunk000,"This is linked to Case C‑652/16, C- 586/17

By order for reference of 4 October 2017, the Division asked the Court of Justice to give a preliminary ruling..."
940_chunk000,The third-country national is an ethnic Arab (hereinafter: Ahwazi) coming from Iran. The third-country national stated that in the Netherlands he has stood up for the rights of the Ahwazi in Iran and therefore cannot return.
940_chunk001,The Minister for Migration considers it credible that the third-country national has become politically active in the Netherlands and stands up for the rights of Ahwazi in Iran....
983_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:
983_chunk001,"The Council notes that it nevertheless emerges sufficiently from the judgment [CJEU, judgment of 14 May 2019]- which the defendant does not fail to point out in its observation note - that the Court stated, at the very least, that the use, in the French version, of the terms ""exclusion from the status of refugee"" referred to in..."
998_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:
998_chunk001,"In this decision, the Court, sitting in full formation, firstly made the assertion, as had the Office, that human trafficking, because it violates the prohibition of all forms of slavery, forced labour or servitude, constitutes a particularly serious affront to human dignity. The Court then established that trafficking organised by transnational..."
964_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019 (information provided by MO MoI SR):
964_chunk001,"The line of reasoning of the defendant who claims that the plaintiff had a legal representative present during the hearing who, unlike the plaintiff, is well versed in the law, could not hold, since the examination of the asylum seeker in the court proceedings represents one of the most important..."
914_chunk000,A. applied for asylum in Sweden in April 2015. The application was rejected and the applicant excluded from asylum for having committed crimes against humanity while working as a guard in Eritrea. An expulsion order had also been issued.
914_chunk001,The Migration Court of Appeal assessed whether the applicant had acted under duress and held that this was not the case as the applicant had benefitted from three permits and always came back to the place of employment. The applicant chose to flee...
941_chunk000,"The case concerns the implementation of Dublin transfer to Italy. The applicant argues that the Netherlands is responsible because it will be treated inhumanely in Italy (Article 3 of the ECHR) due to the reception conditions.

The Court distanced the present case from ECHR Taraskehl and Upper Tribunal of the UK ruling.

..."
942_chunk000,"The case concerns the possibility of detention when the asylum application is rejected but the time frame to submit an appeal has not expired. The judgments in Gnandi and the order in C., J. and S. do not envisage that the..."
925_chunk000,"Healthy refugees who are fit for work are not currently exposed to a ""real risk"" of inhuman or degrading treatment in Bulgaria within the meaning of Article 4 of the Charter of Fundamental Rights of the European Union, either at the time of their return, during the asylum procedure, or indeed after the presumed granting of international protection, irrespective of their wishes and personal choices"
925_chunk001,", due to systemic weaknesses in accordance with Article 3(2) of the Dublin III..."
960_chunk000,"The appellants were Albanian nationals who previously lived in Kosovo (*). They arrived in Ireland on 12 December 2014 and two days later they made an application for asylum. They did not disclose a full account of the circumstances of their arrival in Ireland, in particular that they had previously been issued with a visa for the United Kingdom."
960_chunk001,On 15 January 2015 the Office of the Refugee Applications Commissioner made an information request to the United Kingdom...
930_chunk000,An Iraqi national applied for international protection in Austria on 16 May 2016 stating he had been employed as a guard in a prison near Baghdad where terrorists were incarcerated and was threatened by them. He suffers from a serious heart condition and other health problems. The Federal Office for Immigration and Asylum rejected his request on 16 December 2016.
930_chunk001,His appeal to the Federal Administrative Court was dismissed as...
1090_chunk000,"The applicant, a Nigerian national, requested international protection after entering Austria on 21 September 2015. This application was rejected by decision of the Federal Office for Aliens and Asylum (BFA) on 31 October 2017. A return decision was issued against the applicant and it was not contested."
1090_chunk001,"The applicant, who subsequently traveled to Germany, made a further request for international protection after returning to Austria on 15 January..."
1086_chunk000,"A national of Ivory Coast applied for international protection on 22 January 2018, claiming that he was born on 2001 but did not submit documents to prove his date of birth. Following an age assessment, the State Secretary concluded that the applicant was not a minor."
1086_chunk001,"Specifically, the assessment consisted of an initial observation by two officers from the Aliens Police, Identification and Human Trafficking Department (AVIM) on 22 January 2018, recorded in an official report, and a subsequent..."
953_chunk000,"This case concerned whether, for the purposes of an application for family reunification by a beneficiary of subsidiary protection, “child” could include a non-biological child for whom the applicant had acted in loco parentis."
953_chunk001,Barrett J held that there is a wide diversity of familial structures and the relationship of father/child was not confined by the International Protection Act 2015 to a biological father and accordingly quashed the Minister's refusal of family...
995_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:
995_chunk001,"Persons from the West Bank can claim to have legitimate fears with regard to Israel, which is not a third State vis-a-vis the West Bank. In this case, the CNDA had rejected the appeal of an applicant from the West Bank after having ruled that he came exclusively under the jurisdiction of the Palestinian Authority. Yet the Council of State..."
931_chunk000,"Pursuant to Art. 4a of the Asylum Act 2005, an application for international protection is to be rejected as inadmissible where the foreign person has been granted asylum or subsidiary protection status in another EEA Member State or Switzerland. In the specific case, the appellant, a Syrian citizen, filed an application for international protection in April 2018."
931_chunk001,The appellant had been granted subsidiary protection status in Denmark in 2015. The individual's family was granted asylum in...
994_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:
994_chunk001,"The Council of State overturned the CNDA's decision, ruling directly for the first time on the legal characterisation of facts in a case regarding application of Article L. 711-6. The Council of State had already extended control over the decisions of the CNDA as to the legal characterisation of facts on exclusion issues (CE, 9 November 2016,..."
947_chunk000,This ruling is about the position of supporters of the Gülen movement (hereinafter: Gülenists) in Turkey after the attempted coup d'état of 15 July 2016. It is evident from the information submitted that a considerable number of persons have been put in prison.
947_chunk001,"The third-country national submitted information on the risk that, during arrest and detention, Gülenists will be exposed to treatment in conflict with..."
927_chunk000,"In the Senate's conviction, a comprehensive assessment of the current state of knowledge now lacks sufficient evidence to suggest that Syrian retired military-age returnees (conscripts, reservists) who have evaded from military service due to flight abroad are likely to be linked to ( alleged) oppositional or anti-regime sentiments of Syrian security forces to fear persecution (change in the Senat"
927_chunk001,"e case law.

Refer also to the appeal of this case against the"
689_chunk000,"The applicants, a coalition of Belgian NGOs, filed an appeal claiming the suspension of the Royal Decree of 22 July 2018 due to the reception condition of children in detention, with special concern to the children detained in 127bis Centre, located near Brussels Airport."
689_chunk001,They provided the court a list of deficiencies contained in the Royal Decree regarding the protection and safeguards in place for families and children. The applicants...
959_chunk000,The issue raised in these proceedings was effectively whether a refugee who subsequently acquires Irish citizenship by naturalisation lost the right to family reunification pursuant to section 18 of the Refugee Act 1996.
959_chunk001,"The evidence before the court was that between 2010 and 2017 the Minister for Justice accepted applications for family reunification from refugees who had acquired Irish citizenship by naturalisation, but on foot of legal advice in 2017 the..."
993_chunk000,According to the national contribution to the EMN Report on Migration and Asylum 2019:
993_chunk001,"The Council of State reaffirmed its jurisprudence concerning application of Article L. 733-5 of the CESEDA (CE, 22 June 2017, N° 400366) in which the CNDA may refer cases back to OFPRA if the applicants had not been able to make themselves understood during their interview with the Office and if the Office was responsible for this lack of..."
932_chunk000,The case concerns a take charge request from Greece to Austria which was rejected by Austria. The Federal Office reasoned that the Dublin consultation procedure is a process between the Member States.
932_chunk001,"In case the requesting Member State is not satisfied with the rejection, the requesting Member State may submit a request for re-examination in accordance with Art 5.2. of the Implementing Regulation. The Federal Administrative Court and the Supreme Administrative Court confirmed this..."
1011_chunk000,"The case concerns a challenge to detention under the recast Reception Conditions Directive. The applicant requested international protection after being found illegally working in the Czech Republic and using fake documents to obtain such work.

..."
943_chunk000,"In its rulings of 1 February 2017, ECLI:NL:RVS:2017:209 and ECLI:NL:RVS:2017:210, the Council of State found that the Minister for Migration had rightly designated Morocco as a safe country of origin and that the information provided in this case does not lead to a..."
992_chunk000,According to the national contribution to the EMN Report on Migration and Asylum 2019:
992_chunk001,"The Council of State rejected OFPRA's appeal in a case concerning an Iraqi national, who was involved with the Peshmerga, that the Court had recognised as a refugee on the grounds of his fears of persecution from the Islamic State organisation on account of his political opinions. In its appeal, the Office reproached the..."
1013_chunk000,The case was dismissed for failure to complete the action within the time-limit despite the court's request.
1013_chunk001,"The Supreme Administrative Court held that where, at the request of a Regional Court, a complainant delivers submissions that complete the action to a different court (without territorial jurisdiction), the timeliness of such submission is maintained only where the Regional Court without territorial jurisdiction passes on or sends on the submission by means of a..."
991_chunk000,According to the national contribution to the EMN Report on Migration and Asylum 2019:
991_chunk001,"The Council of State rejected the applicant's appeal (for which the Office entered an appearance in defence), thus confirming the denial of international protection to a Rwandan national, a senior officer of the Rwandan armed forces since 1993 who had been acquitted on appeal at the ICTR in 2014. The Council of State held that, in particular, res..."
923_chunk000,An applicant must submit a request for protection with which he asserts target-country-related dangers that are objectively suitable in their nature for recognition as a person entitled to asylum or an award for international protection (material asylum request within the meaning of Section 13 (1) Asylum Act) refer the asylum procedure to the Federal Office.
923_chunk001,He has no right to choose between an examination by the immigration authority and an examination by the...
944_chunk000,"The Council of State decides on this case following the CJEU Judgment on the request for a preliminary ruling (C-180/17) originated in this regard.

Dutch law does not provide for automatic suspensive effect in asylum cases before the Council of State. Suspensive effect only applies to proceedings at the district court. This means that..."
945_chunk000,"This case concerns the consequences of an appeal with no automatic suspensive effect.

Following the CJEU ruling in C-180/17, the Council of State held that foreign nationals do not automatically have to be given the opportunity to await their appeal in the Netherlands. In the meantime, they also have no right of residence on the basis of which they can claim..."
988_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:
988_chunk001,"In this case, the CNDA had annulled the Office's decision to end protection on the basis of Article L. 711-6 (1) of the CESEDA, holding that the Note Blanche from the intelligence services tendered in the course of adversarial proceedings was insufficiently specific (jihadist profile). The Council of State annulled the Court's decision on..."
989_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:
989_chunk001,"The Council of State upheld the CNDA's decision and rejected OFPRA's appeal on the grounds that the Court's sovereign assessment on the applicant's inadequate understanding and mastery of the English language could not be denatured. In this case, the Office's inadmissibility decision on the grounds of late submission was..."
990_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:
990_chunk001,"The Council of State overturned the CNDA's decision on the grounds of procedural irregularities, because the Court's decision had failed to address the Office's brief, tendered after the date of closure, and had instead based its decision, without scheduling a new hearing, on a statement produced by the appellant after the hearing in a note during the..."
647_chunk000,"According to EDAL, On 14 February, the Administrative Tribunal of Paris ruled in an urgent procedure regarding practical complications in the registration of asylum applications in the Île-de-France region."
647_chunk001,"The urgent action was initiated by several civil society organisations against complications that amounted to obstacles to the registration of applications for international protection through a telephone platform. The platform, established by the French Office for Immigration and..."
948_chunk000,"This case concerns the legal consequences following an entry ban, in case the third-country national has returned to the Netherlands twice and what this means for his request to lift that entry ban."
948_chunk001,The Court finds that the entry ban is suspended if a third-country national enters the European Union contrary to a valid entry ban. This means that the course of the period is temporarily interrupted and starts to run again as soon as...
956_chunk000,The applicant was a national of Afghanistan who was granted subsidiary protection in Ireland in 2016. He subsequently applied for family reunification for his wife whom he married in 2017.
956_chunk001,The Minister for Justice refused the application on the basis that section 56(9)(a) of the 2015 Act only provided for refugee family reunification for spouses where the marriage pre-dated the application for international protection. The applicant subsequently instituted...
986_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:
986_chunk001,"The Council of State recalled the principle of confidentiality as mentioned in its decision dating from 27 July 2016 (N° 386797) according to which the Office is bound to guarantee the confidentiality of any information that could endanger persons seeking asylum, as well as the respect for privacy and for doctor-patient confidentiality. The..."
987_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:
987_chunk001,"For the Council of State, the State is bound to cover the costs of any civil sentence against its public officials, to protect them if they are the subject of criminal proceedings and protect them against threats, violence, assault, verbal abuse, defamation or insult to which they may be subjected in the course of their duties. This overarching..."
985_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:
985_chunk001,"The Council of State reminded the CNDA of its duty to utilise, if it receives information regarding the existence of an “S” card for the appellant in question, its power to investigate and deemed that “by basing its opinion solely on the content of the “S” card, [...] without gathering, in order to reach its..."
954_chunk000,The applicants were an Albanian mother and her two daughters whose applications for asylum were refused by the Refugee Applications Commissioner.
954_chunk001,"They subsequently brought judicial review proceedings challenging the manner in which their applications had been processed by the Refugee Applications Commissioner, arising from the fact that the Commissioner had established a “case processing panel of legal graduates” to perform “case processing” in relation to applications..."
922_chunk000,"Dublin transfer of a Maritanian applicant to Austria. Official suspension of the execution of the transfer decision issued in the Dublin procedure is also possible, and will then interrupt the transfer period.

..."
984_chunk000,According to the national contribution to the EMN Annual Report on Migration and Asylum 2019:
984_chunk001,"The Council ruled that, indeed, the burden of the proof on whether an applicant has been granted an international protection in another MS or not lies on the CGRS, nonetheless, this proof being made, it is up to the applicant to provide evidence when he challenges the actuality or the effectiveness of his protection.Also, the question whether the applicant may be readmit by..."
582_chunk000,The High Court refused an application for judicial review by the applicant of a decision refusing him subsidiary protection. The national decision maker did not find the applicant's assertions that he was “not mentally ok” to be credible.
582_chunk001,"The applicant submitted that in dismissing his explanation of suffering a mental disability, the Tribunal acted in breach of the national protection legislation, the EU Charter of Fundamental Freedoms and the European Convention on Human..."
589_chunk000,"I – Notification to the applicant for international protection, to account for the content of his statement, does not comply with the formalities required by Article 17 (1 and 2) of the Asylum law under which a written report, containing all the essential information regarding the case and to which the applicant can respond, must be drawn up."
589_chunk001,II – The aforementioned Article 17 (1 and 2) is applicable to situations where the request for international protection is considered inadmissible and the...
650_chunk000,The case concerns the suspension of the implementation of a decision on refusal of international protection.
650_chunk001,"The Supreme Court considering that the Polish provisions on granting international protection do not explicitly provide for the right to stay of a foreigner applying for international protection in proceedings before the court of first instance, rules that the fulfillment of the obligation under Art. 46 ust. 5 of the procedural directive 2013/32, must take place through the decision..."
584_chunk000,"The applicant sought judicial review of the decision to refuse him asylum in Ireland, which he had applied for on the basis of fear of persecution due to issues with the Taliban and Lashkar-e-Islam. The applicant had tactically not applied for asylum in another Member State, which was a factor the decision maker was permitted to take into consideration."
584_chunk001,The Court held that there is no obligation on the decision makers to contact bodies within the countries of origin to verify individual...
634_chunk000,"As per EDAL, On 7 December 2018, the Superior Court of Madrid ruled that the Spanish authorities had to ensure that an asylum seeker transferred to Spain from Germany under the Dublin Regulation would have access to the reception system."
634_chunk001,"The Ministry of Labour, Migration and Social Security had withdrawn access to the reception system for the applicant on the ground that he had renounced the right to reception by leaving the country. The applicant, who was living in a shelter for homeless..."
541_chunk000,"A group of 18 Senators of the Senate of the Parliament of the Czech Republic (hereinafter referred to as ""the petitioners"") proposed to the Constitutional Court that in the Act No. 326/1999 Coll., On the Residence of Foreign Nationals in the Czech Republic and on Amendments to Certain Acts, hereinafter referred to as the ""Aliens Act""), repealed the provisions of Section 169r (1) j) and § 172 para."
541_chunk001,6. The Senators also proposed that the Constitutional Court should annul the provisions of Section...
658_chunk000,"On November 2018, the Supreme Court of Madrid ruled that the Spanish authorities had to ensure the access to a reception centers to an international protection applicant who previously abandon the assigned center to travel to the Netherlands."
658_chunk001,The Ministry of Labour and Social Security had withdrawn access to the reception system based on the ground that the applicant lost his right to stay there when left his previous center without previous communication. According to the Spanish...
554_chunk000,"Appeal against case no. 16/23224 of the Court of The Hague issued on the 1st June 2017. By decision of 10 October 2016, the State Secretary rejected an application from the foreign national to grant her a temporary asylum residence permit and issued an entry ban against her. By judgment of 1 June 2017, the court dismissed the appeal against this decision by the foreign national as unfounded."
554_chunk001,The foreign national then decided to appeal the Court of The Hague decision. ...
557_chunk000,"Appeal against the decision of the Court of The Hague, Middelburg seat, of January 12, 2017 in case no. 16/29461 by which the State Secretary for Justice and Security rejected an application from the foreign national to grant her a temporary asylum residence permit and issued an entry ban against her. ..."
504_chunk000,The judgement dealt with the application of Article 5(2) of Commission Regulation (EC) No 1560/2003 of 2 September 2003 laying down detailed rules for the application of the Dublin II Regulation.
504_chunk001,"A Member State which has earlier denied a request of take charge or take back according to Articles 21 or 23 of the Dublin III Regulation within the time limits and which, thereafter, receives a re-examination request under Article 5(2) of Regulation No 1560/2003, must..."
513_chunk000,"The case concerned revocation of a residence permit and refugee status granted to an Afghan woman and her child cf. the Immigration Act Section 37 first paragraph, letter e). The husband arrived in Norway and thus the basis for their permits no longer existed."
513_chunk001,The Supreme Court narrowed the scope of their assessment to be that of whether the revocation violated their right to private life cf. the European Convention of Human Rights Article 8 and Paragraph 102 of the Norwegian...
366_chunk000,"In this case the applicant (Nigeria) arrived to Ireland in October 2016. He claimed to be bisexual and that he was the subject of an attempt to force him to join a cult in Nigeria. On May 2017, the International Protection Office informed him the refusal of his application for protection on the ground of lack of credibility. He appealed the decision."
366_chunk001,Relief sought The relief sought in the proceedings is certiorari of the decision of the tribunal. The grounds of challenge essentially fell...
577_chunk000,"This case concerns the validity of asylum application in accordance with § 29 para. 1 no. 5 i. V. m. Section 71a (1) Asylum Act, in accordance with Section 31 (3) Sentence 1 AsylG. It also refers to the examination of a prohibition on removal according to § 60 Abs. 5 AufenthG i. V. m."
577_chunk001,"Article 3 ECHR, depending on the circumstances of the individual case - firstly - asserted individual threats in the country of origin, - secondly - the existence of a situation of generalized violence in the..."
591_chunk000,"I- Matters regarding the hearing of the interested party with respect to inadmissibility decisions on a request for international protection and the transfer of an applicant for international protection, rendered further to a decision to accept the taking back request by another member state, are governed by Article 5 of Regulation (EU) No 604/2013 of the European Parliament and of the Council of "
591_chunk001,"26 June 2013.

II – The aforesaid Article 5 of the Regulation (EU) No 604/2013 does not provide for..."
649_chunk000,"If an affiliate with a time-limited residence permit and status as an alternative person in need of protection can be considered to have well-founded prospects of being granted a permanent residence permit, it can be judged on the basis of how likely it is that the need for protection remains when the current permit expires."
649_chunk001,"Here, both the individual protection reasons and the current land information must be considered. The possibility of obtaining a residence permit due to work or qualifying..."
579_chunk000,The applicants in each of these six cases have brought proceedings making the technical objection that the International Protection Office used contractors in the process of coming up with a negative recommendation.
579_chunk001,The issue now is whether the present applicants in other cases raising the same or similar points should get the benefit of a stay restraining the International Protection Appeals Tribunal from carrying out its statutory duty to hear their appeals from the IPO recommendations...
505_chunk000,Judgment 1.
505_chunk001,"This request for a preliminary ruling concerns the interpretation of Article 4(2) and (5)(b), Article 9(1) and (2) and Article 10(1) and (2) of Directive 2011/95/EU of the European Parliament and of the Council of 13 December 2011 on standards for the qualification of third-country nationals or stateless persons as beneficiaries of international protection, for a uniform status for refugees or for"
505_chunk002," persons eligible for subsidiary protection, and for the content of the protection..."
645_chunk000,"As per CNDA press release: When the ECtHR concludes that there is a real risk of inhuman or degrading treatment if returned to the country of origin, the CNDA is obliged not only to consider as admissible a request for review by the person concerned but also to grant him at least the benefit of subsidiary protection within the meaning of Article L. 712-1 (b) of the CESEDA."
645_chunk001,"By this decision, the Conseil d'Etat applies its Vernes case-law, in which it acknowledged the obligation of..."
651_chunk000,According to the Press Release: In its decision in the case of Saidani v. Germany (application no. 17675/18) the European Court of Human Rights has unanimously declared the application inadmissible. The decision is final.
651_chunk001,"The case concerned the applicant's deportation from Germany to Tunisia because he was deemed to be a potential offender who posed a threat to national security (so-called “Gefährder”), based on his activities for “Islamic State”. The Court..."
606_chunk000,"1. This request for a preliminary ruling concerns the interpretation of Article 46 of Directive 2013/32/EU of the European Parliament and of the Council of 26 June 2013 on common procedures for granting and withdrawing international protection (OJ 2013 L 180, p."
606_chunk001,60) and of Article 13 of Directive 2008/115/EC of the European Parliament and of the Council of 16 December 2008 on common standards and procedures in Member States for returning illegally staying third-country nationals (OJ 2008 L...
607_chunk000,"X, an Iraqi national, was notified of the withdrawal of his fixed-period residence permit, the rejection of his application for international protection, and an obligation to return. X appealed against that decision before the District Court of The Hague in the Netherlands, which annulled it whilst maintaining its legal effects."
607_chunk001,The Council of State subsequently dismissed the appeal brought by X against that judgment. Since X had been granted advances on the financial contributions to rental...
657_chunk000,"A citizen of Eritrea and her child applied for family reunification with the husband/father of the child, who held a residence permit in Norway as a refugee. The applicant appeared personally at the foreign service mission approximately one year and three weeks after the sponsor was granted his residence permit."
657_chunk001,She had registered the application online and paid the fee about 10 months after the permit was granted. The Immigration Regulations Section 10-8 states that in order to be granted...
